reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,userLang,app_id,translated_content,clean_translated_content
495266a4-f451-48c3-a844-fb3c07560d55,Foysal Hossain,https://play-lh.googleusercontent.com/a-/ALV-UjUo9CylpEKiBi3FptPqpH_upLcZ5cGEzLh-d9DRndmseg,Gett van for no reason 😂😂😂,1,0,,2023-09-19 15:05:31,,,, EN,org.telegram.messenger,Gett van for no reason 😂😂😂,Gett van for no reason 😂😂😂
947fcd83-7a28-403d-b03b-d0bc20f52e0e,S K VERMA,https://play-lh.googleusercontent.com/a/ACg8ocJMS9iA1ELCjG-bhVpdCEyZMGO2bkh17Xt8JDCvlCX_=mo,better' than WhatsApp,4,0,,2023-09-19 14:59:30,,,, EN,org.telegram.messenger,better' than WhatsApp,better' than WhatsApp
65856211-67ba-4560-84dd-a0055775ed90,Amanuel Abara,https://play-lh.googleusercontent.com/a/ACg8ocKdO9QJD2WomQydwQDSePhs0nmmKUYAJrkzaV2VgaMk=mo,That was good app for me,5,0,,2023-09-19 14:55:06,,,, EN,org.telegram.messenger,That was good app for me,That was good app for me
cd5ba250-3a26-43b4-a378-77d18f73a503,Vagarangas X Aopi,https://play-lh.googleusercontent.com/a/ACg8ocJNdKn8Xe_gKWoWxXstSwOCTotsndchtfbquh_rlOhR=mo,Love the app,5,0,10.0.4,2023-09-19 14:50:18,,,10.0.4, EN,org.telegram.messenger,Love the app,Love the app
e8e886b4-d6c6-416b-b0a1-be90320c4024,Shafin islam,https://play-lh.googleusercontent.com/a-/ALV-UjUJ5th6DQ-9UAw78G1z5vbMIuEKrD4DMOnzPkjPxYrfzw,🕳️🕳️🕳️,1,0,,2023-09-19 14:48:20,,,, EN,org.telegram.messenger,🕳️🕳️🕳️,🕳️🕳️🕳️
f189360d-494a-41cf-923a-4d9388d01d49,Ali ishrak Arko,https://play-lh.googleusercontent.com/a-/ALV-UjXsxqFhZF1CJP_1ug7m97o2Y-1I9EuStYkqZidt_EGb6Q,Good app,5,0,10.0.8,2023-09-19 14:46:54,,,10.0.8, EN,org.telegram.messenger,Good app,Good app
f88b4087-5944-44dd-b4c6-33431f3e8b2b,loljustplayplay,https://play-lh.googleusercontent.com/a/ACg8ocIQLjdSFfklYyhGagIKr9ePVIGCNrCwCmWcAITY2i4k=mo,Nice app,5,0,8.6.2,2023-09-19 14:43:18,,,8.6.2, EN,org.telegram.messenger,Nice app,Nice app
ab15282f-86b7-4052-b6a8-ba8a2d64bce2,SP News HD,https://play-lh.googleusercontent.com/a-/ALV-UjWBS2W5oHZJTkEqoW31q5ap0A1mP1kk4hlpACcjTcz50C4,telegram mare call par nai ban rhi,5,0,10.0.8,2023-09-19 14:42:49,,,10.0.8, EN,org.telegram.messenger,telegram mare call par nai ban rhi,telegram mare call par nai ban rhi
3f4d72ec-123d-4ae3-a82d-1a61dcf734e3,Rofy Az,https://play-lh.googleusercontent.com/a-/ALV-UjU0gBAY0ihvrfkLzrVgvjTw1rNmzpIKTDM64sAxshx5NNc,now how to mute stories?,3,0,10.0.8,2023-09-19 14:37:57,,,10.0.8, EN,org.telegram.messenger,now how to mute stories?,now how to mute stories?
2093fc6f-75c0-4ec3-9bbc-a8febfa360e8,ALOK YADAV (siv),https://play-lh.googleusercontent.com/a-/ALV-UjU3j3KNyvWEexFUYSMM9jCdURS9F8el6MjmQAtkHM9iHQr5,Good parfom sab 1,5,0,10.0.8,2023-09-19 14:37:46,,,10.0.8, EN,org.telegram.messenger,Good parfom sab 1,Good parfom sab 1
